,reviews
1679,Very cute but sizes run small! Got a medium but it was only a 34B. And the first time it did not come with straps. Had to reorder but comes extremely fast and is very cute!
1680,I love my monogrammed bathing suit top and can not wait to wear it on my honeymoon!! Thank you!
1681,Arrived very quickly.  I love it!  I get so many complements on this top!
1682,love it!
1683,"Love love love. It fits perfectly and the monogram is beautiful. Fast shipping too! I can't wait to wear it, thank you!"
1684,A little brighter than I thought. More pinkish than coral but love the monogram. Thanks!
1685,Wonderful! The monogram was great and it looks so pretty!
1686,I loved this product my monogram looks so great and I would definitely recommend this to anybody who wants one !
1687,"Cute as can be.  Excellent quality. Fasty shipping, great communication.  Would purchase from again!!"
1688,Love it! Thank you so much (:
1689,It's a little smaller than I thought it be but it looked great!
1690,"I loved it. I should have bought the bottoms also.
Super cute❤️"
1691,Fast shipping! Monogram looks great!
1692,The top is cute and I can't wait to wear it on my honeymoon. Just keep in mind the top isn't very wide. It works for me because I have smaller boobs but may not work for someone with larger ones.
1693,"Very cute, good quality! Shipped fast!"
1694,Came extremely quick! Love it!!
1695,Perfect!! Thank you so much! Super fast shipping! LOVE
1696,Absolutely beautiful and well made
1697,I like them but the strap holders were broken on mine!
1698,So cute!! Cannot wait to wear it!! Thanks!!
1699,Fast shipping. Monogram looks great! Thank you!
1700,Very cute and helped with sizing!
1701,Looks adorable and arrived quickly!
1702,Soooo cute... Can't wait to wear!
1703,Exactly what I ordered. Can't wait to wear it!
1704,"nice quality, shipped on time"
1705,"Unfortunately this item didn't work for me. The quality of the garment was not up to par and the resulting fit was poor, and you just don't know when you order something online like this.  There are many swimsuit tops in my size, so I know I'm not difficult to fit. In this case, though, the item could not be returned because it was personalized, so in the end I'm out the money and the top.  Booh, because I really wanted to like it!"
1706,"The bathing suit top is very cute, unfortunately all colors do NOT fit the same.  I asked for the measurement , then Ordered two colors...having no idea that they wouldn't be the same.  One is much smaller and does not fit at all.  When I sent a message to the seller, I never got a response..... Very disappointing"
1707,"Highly unsatisfied. Sent the wrong size, which was her mistake not mine. Not going to wait an extra couple weeks to get it fixed. Won't be ordering here anymore."
1708,"Absolutely perfect! 💕 So in love with the color. I got Pacific Blue. Fits perfectly and is so well made! Xoxo She is the sweetest! Sent the wrong suit at first but informed me before it got her and had my suit on the way, right away. Sent me the slip to send back. Very smooth and fast shipping! Will definitely buy from again! 😙💙"
1709,"This seller went above and beyond to help me get the right fit, i am so grateful. Their hand work is exquisite and very artfully done. Thank you for the beautiful bikini!"
1710,"A little skimpier than I was expecting, but excellent quality. I've had several people comment on how well it is made (and how well it fits!) I'm just going to have to be a little more diligent about keeping fit :D"
1711,Loooooved my bikinis!!!  So well made and beautiful!!!  Amazing shop!!!
1712,I love these bottoms! They are the perfect amount of cheeky and they make me look so tan. Great quality too!
1713,fits perfectly! Very high quality
1714,Good fit! Just the right amount of cheeky. Quality is great!
1715,Super heureuse de mon bikini car il correspond déjà à la photo et il est vraiment de très bonne qualité. Car heureusement j'ai trouvé votre boutique et une autre super car j'avais commandé plusieurs bikinis car certain était en plus pour offrir et bien la catastrophe.
1716,Love these connectors well made and really satisfied with my purchase
1717,Beautiful!
1718,Perfect fit!
1719,This is a well made Gorgeous suit ! Thank you *
1720,"I love this swimsuit! I added some flesh-colored cups to the bra top to give me a little more coverage, but it fits perfectly and is so unique and fun."
1721,"Gorgeous Swimsuit, I really like that there are no ties or clasps. I just need to do some squats to really feel good wearing the bottoms. We had an issue with shipping but Liliya was super helpful and responsive. Two thumbs up!!"
1722,"just an amazing suit, such a perfect fit, so well made, and wow really sexy!"
1723,Sexy! Sexy! Sexy! Exactly as pictured- sizing good.
1724,Amazing! Needed it for a bachelorette party and even accommodated my shipping needs as I tend to do things last minute! The best!
1725,"The entire shopping experience with Maryam was beyond 5-stars! She was super helpful answering all questions for my entire ""squad"" and SUPER prompt answering my messages. Would recommend to anyone! I would also recommend going a size up. I was between the medium and large and happy I chose the large. Overall, EXCELLENT experience!"
1726,"The entire shopping experience with Maryam was beyond 5-stars! She was super helpful answering all questions for my entire ""squad"" and SUPER prompt answering my messages. Would recommend to anyone! I would also recommend going a size up. I was between the medium and large and happy I chose the large. Overall, EXCELLENT experience!"
1727,Awesome suits! Well made and very cute. The shop owner was so helpful with my large quantity order of suits for my sister's bachelorette weekend! She was able to send out the suits immediately and I had them in hand less then a week after my order. The bride squad is now officially ready for pool days!
1728,"A group of us ordered these suits for a cruise and we absolutely love them! I was worried about the fit since I have a large chest and a small waist, but the seller was extremely patient and informative. It has amazing coverage up top for me, and the back being semi cheeky was just what we wanted. I highly recommend this product!"
1729,"When I first ordered the swimsuit, I’ll admit I was a little nervous. But when I tried it on not only did it perfect but the material felt amazing on my body. It didn’t itch or give me any issues. I love my swimsuit and will definitely be ordering more ! :D"
1730,I absolutely love my crochet top! I wore it to a music festival last week and couldn't stop getting compliments on it! My chest is usually too big for crochet tops but Shelly was very deliberate about getting all my measurements correct so it fit me like a glove! It's perfect for a festival that I'm not restricted by the cuffs and can move my arms freely while dancing. I actually saw a girl with a similar top and stopped her and we figured out we both got tops from this shop and it was a really cute moment. She was killing it as well! You can tell Shelly took a lot of time and effort to make such a quality piece of crochet. You're paying for it to fit you perfectly and last a long time. Shelly was also really great with communication back and forth about sizing and what not. Highly recommend this shop and product :)
1731,"Such a perfect fit and perfect top! I can't wait to rock it at Coachella and any future tropical trips I take! Thank you so much, Kayla! 😁"
1732,"AMAZING quality, so worth the wait, fits perfectly and is even more adorable than I had hoped!!!!"
1733,"Such a perfect, flattering fit!"
1734,"Beautiful peace, only giving 4 stars because processing time is very long, I recommend contacting seller for sizing because the material is not stretchy, I normally wear an XS and seller recommended S and it's a perfect fit!"
1735,"This top was worth the wait. It covers well, while being adjustable for size. It is a really cute design. Thanks for EVERYTHING"
1736,Shelly is amazing ! Shipped in a timely manner as promised and responds quickly. Product is amazing as well and fits perfectly
1737,thanks so much. loved wearing this red top for christmas! thanks for shipping it in time.
1738,Very cute! Nicely made! Shop owner very accommodating and polite;)
1739,Absolutely perfect. Making all my goth beach dreams come true!!
1740,Fit perfectly! Bottoms were a bit big but I love it!
1741,The seller was very professional and helpful. I absolutely love this suit. The quality and fit is amazing.
1742,Absolutely love it!!! Perfect size an good quality
1743,"First I was never updated on shipping as a matter of fact it still says item has not shipped, it arrived 3 weeks ago! I noticed it did not ship from the location it states in my order, it's from China. The cups have poor stitching, not straight at all, white thread hanging all over, and the padding was placed in backwards so they pop inwards instead of out. Needless to say the top is ok. The bottoms are great! Exactly as seen. Double stitching on the seams. A few threads. It is thin material but with the print it won't be noticeably see threw. I seen a lot of great reviews on this but its from China and not Az,  so quality could be questionable and probably won't last too long depending on how it's cared for."
1744,"Come on time, exactly as advertised.. good Material, I'd order again for sure"
1745,"Came on time, and looks amazing"
1746,Arrived quickly! Very pleased with purchase
1747,Bathing suit fit perfectly and was so cute for our Bachelorette party! I sized up and got a Large which I was really happy about. I’m 5’4” 135.
1748,"Fit perfectly! Looks great, love"
1749,I love this bathing suit!! It is so cute! Love the low back cut out. I just wish it had some type of padding in the top area. But overall I cannot wait to wear it on my bachelorette party in Vegas this weekend!!!!!(:
1750,This bathing suit is gorgeous and fit amazingly on everyone !!! I paid for expedited shipping and it was delivered within a week !!! Highly recommend these suits and would definitely buy them for any bachelorette!
1751,This is the best fitting bathing suit I have ever bought. It was designed perfectly how I asked and they even reached out because a color was no longer in stock but they were fast and efficient about letting me know and getting me the suit I wanted. I will most def be coming back and shopping here! LOVE.
1752,This is the best seller. I got what I dreamed of. The product is of the highest quality. I'm extremely happy. They sent it off very quickly. Recommended. In the future I will cooperate with this seller. You are a chance !!!!!!
1753,Yes! Perfect Item for my girls. Thank you
1754,YAS Can't wait to give to my Bridal Party members.
1755,So cute! Fits perfectly. Need some petals to cover nips as there isn’t padding!
1756,"White bride bathing suit fit perfect, true to size. Material was lined and was not see through, good quality!"
1757,"The suit is very cute and fits great, but the white is see through. I'm wearing it under shorts and planning to add swimsuit liners to the top somehow, so I'll make it work.. just be aware! Otherwise, the seller was easy to work with and the suit was shipped quickly."
1758,Love love love item. Exactly what I wanted Seller was very communicative. Nailed it!
1759,Quality work and awesome fit!!!!
1760,I love the look and feel of this bathing suit and it arrived on time as I requested. Thank you JMTboutique. I will be purchasing from you in the future.
1761,White a little see through but very cute! Can’t wait to wear it for my bachelorette
1762,Great suit. Only advice is to order a size up.
1763,Not true to size!! Waste of money.
1764,Swimsuit was good quality but white was see through. No refund. Read the T&C’s
1765,"I LOVE this bathing suit, so cute! Im 5'1 and about 120 lbs, but I we are a size D bra so I got a medium. It fits perfect. I got yellow which is a little see through but not too bad. My friends each got one of the other colors and they came to great also. High quality- I would definitaly  purchase again."
1766,Can I just say we were #HOTT in Columbia for my birthday. The swimsuits were a great fit on everyone. Definitely recommend!
1767,Can I just say we were #HOTT in Columbia for my birthday. The swimsuits were a great fit on everyone. Definitely recommend!
1768,Can I just say we were #HOTT in Columbia for my birthday. The swimsuits were a great fit on everyone. Definitely recommend!
1769,Can I just say we were #HOTT in Columbia for my birthday. The swimsuits were a great fit on everyone. Definitely recommend!
1770,Can I just say we were #HOTT in Columbia for my birthday. The swimsuits were a great fit on everyone. Definitely recommend!
1771,Can I just say we were #HOTT in Columbia for my birthday.  The swimsuits were a great fit on everyone.  Definitely recommend!
1772,Can I just say we were #HOTT in Columbia for my birthday. The swimsuits were a great fit on everyone. Definitely recommend!
1773,Can I just say we were #HOTT in Columbia for my birthday. The swimsuits were a great fit on everyone. Definitely recommend!
1774,Can I just say we were #HOTT in Columbia for my birthday. The swimsuits were a great fit on everyone. Definitely recommend!
1775,Can I just say we were #HOTT in Columbia for my birthday. The swimsuits were a great fit on everyone. Definitely recommend!
1776,Can I just say we were #HOTT in Columbia for my birthday. The swimsuits were a great fit on everyone. Definitely recommend!
1777,It fit perfect 😍 I’m in love with this!
1778,Fits perfectly! I am 5'1 and was worried about it  being too high cut but it is not at all! Quality seems great (I have not yet worn it in the water) and I love the back - it dips nice and low but not too low.
1779,"This suit fit me perfectly. I am 5’7 and 150 lbs, muscular build. I ordered a small and it fits true to size. I am even a little more busty up top and it was fine. I got the red suit that says ‘Final Fiesta’ for my bachelorette party! I am so excited to wear it. I will say the quality could be a little better, but you get what you pay for. This suit will be worn 1-2 times, so I wouldn’t recommend buying this for a ‘normal’ swim season, as I don’t think it would hold up! Just from what I can tell by the fabric. (That’s why I have 4 out of 5 stars) I will say this seller was very easy to talk to and answered all my questions I had prior to my order!"
1780,"Fit a little small in the booty and loose in the shoulders, but I loved it anyways. Looked great for my Bass Academy outfit"
1781,The bathing suit fits great! The lettering came out good also.... there’s a little extra spacing between two letters that shouldn’t be spaced but it’s not that big of a deal. Overall I give it 4/5 stars! Will definitely order again!
1782,Great quality suit. The fabric is thick and the cut is great. I got a large and I’m 5’3” 150 lbs. fits great!
1783,"These bathing suits are THE BEST purchase you’ll make!!! They fit extremely true to size and come in a variety of colors. I needed 10 bathing suits, and the seller was able to accommodate me on a deadline as well. Highly recommend!!"
1784,"Cute suit I sized up for pregnancy, but they’re true to size! Order came in 2-3 weeks."
1785,Perfect for my bachelorette! Thank you!
1786,Great quality! true to size. Going to order more! Thanks!
1787,These suits came out so cute and were delivered in great timing!
1788,Exactly what we wanted! Thanks! Great item!
1789,Exactly what we wanted! Thanks! Great item!
1790,Exactly what we wanted! Thanks! Great item!
1791,Exactly what we wanted! Thanks! Great item!
1792,Came in quickly and they were great!!
1793,Awesome love it!!!! Fits great and going to be even better or VEGAS WOHOO
1794,It fits well and is going to be perfect for the bachelorette party I’m wearing it to
1795,Very fast service!! Love both of my suits
1796,Perfect! Not lined and came in about 3 weeks time.
1797,Very well made! Love it and can’t wait to wear it in Florida. Highly recommend!
1798,"So great! Got a white one and it was not see through. Loved the writing, letters came with a great size."
1799,They run extremelyyyyy small! And feel cheapy!
1800,Size ran smaller than I thought but will work for this one occasion
1801,"Didn’t ship on time, ordered 1-2 day shipping for an extra $40 & received it a week later than the expected shipping."
1802,"Didn't fit...make sure you measure yourself prior to ordering. Do NOT go by the sizes or you will be disappointed as well. When I contacted the seller, they were unwilling to fix resolve the issue."
1803,Unfortunately it’s not flatering. I want to love it but it fits awkward and I guess because I’m tall I should have gotten a large? Bummed because it was custom for my bachelorette. The arm straps wont lay flat either.
1804,Absolutely no support!  Not for full bust women.
1805,VERYYYYYYY DISAPPOINTED NEED A REFUND ASAP
1806,Love it!  Fits perfectly to my measurements ♥️
1807,"I adore this suit! The color is rich, shiny, royal blue. The custom fit is just as requested. It works for people that need hard-to-find cup sizes, and mismatched size for top and bottom, like me. However, if you're not used to the ruched bottom, it might fit a little smaller than you're used to. It's pretty cheeky. Maybe order a size up on the bottom so you don't have any bum cleavage :) Thank you so much!"
1808,"LOVE my suit. Seller was great with communication and accommodating to me needing this in a short time. Not only did it make it in time, it was worth the wait! Fits perfectly for my Disney vaca and I've already received multiple compliments. Will definitely order again!"
1809,I love my Suit!! Thank you Lucy
1810,"Lucy Bea is so talented, creative and accomodating. I don't know if I will ever shop in a department store for a swim suit again as long as she is still running her business and providing a swimsuit line. I seriously have never found a better fit!!! Thanks Lucy Bea... you are the best!"
1811,"I love this so much! It is flawless thank you thank you! I'm skeptical about ordering anything online much less a swim suit!! The ties are perfect so that the suit conforms to your shape exactly how you want it. Color is just as imagined and ruffled are beautifully done. And it's so soft! I wasn't expected such a high quality material. Thank you so much, I'm in love! :D <3"
1812,Super sexy!
1813,I love the bathing suit! It is very nicely made!! Fits perfect as well!
1814,"amazing, it fits me perfect! the quality is perfect as well"
1815,So custom that I looked skinny! Not just anyone can do that! Love the color and the fabric!
1816,Cute!
1817,Love this suit and thanks for always getting it to me when I need it!
1818,"Although there was a mix up with my order, I'm completely happy with the finished product."
1819,"Awesome suit, arrived by agreed upon date! Chest was a little large but I am only a B cup so maybe that just happens... love the suit though otherwise! :)"
1820,I got my swimsuit early but only because i had to open a case with esty on another high wasted swimsuit (i ordered a size 8 medium and got more of a size 12 i have to take it to get altered ) when i opened the case. She got back to me on the quickness..... i got my blue ruffle swimsuit and it was good the stiching on both swimsuits. Could have been better just not really what i was expecting but over all the swimsuits are cute
1821,love....my favorite swimsuit. would purchase again.
1822,Awesome product! Came really quickly too
1823,Very prompt with messaging and assured me that I would receive my order prior to leaving town. Would definitely order from here again :)
1824,"There was a miscommunication about the order, however she messaged me right away and my bathing suit was shipped. Looking forward to receiving it"
1825,This suit is absolutely perfect.
1826,Super Cute! The suit looks great I got the black low back Brazilian cut. It was exactly the simple one piece suit I was looking for! Anthony was really great to work with and he took my measurements so the suit would be a great fit I’m about 5’4” and about 130 lbs and ordered a Medium.
1827,"I am so impressed with this swimsuit! The owner got my measurements and it was a perfect fit! I have never had a swimsuit look this good on me before, and the feel and style of it is amazing! Beautiful in the back, and it makes my legs and butt look their best! It is so well made and came in a cute wrapped box. Excellent service from this shop, and decent shipping time too! I am so happy and pleased!"
1828,A very well made and beautiful looking swimsuit. My second buy here in this shop and I didn't get disappointed :) Thank you
1829,"Such a simple yet amazing bathing suit. Super sexy, but not too revealing. The shop owner is amazing. He really makes sure to get all your size details to make sure it’s the right fit. I received my item fairly quickly as well! Very happy!!!"
1830,Love it. I got the teal color and is gorgeous better in person than in picture. The fitting is just perfect.
1831,Best swimsuit ever! I love it!
1832,"Beautiful suit, great fit and excellent customer service! Will definitely purchase again."
1833,"Fast shipping, great service, cute suit! Love it!!"
1834,You did such an amazing job on my bikini!! It exceeded my expectations!!! I love it!!!
1835,"This review box is too short to explain how strongly I feel about this store. 
The service is amazing, Lori will go above and beyond to make sure her customers are happy and the product is perfect. As for the profuct, the print is beautiful, the quality is high, and the fit is perfect, mainly because Lori has no problem altering it to fit you if you're between sizes like I was.
I'm VERY happy about this purchase and the experience, 10/10 - will recommend. You will not regret buying from here!!! :)"
1836,It's a great product that's well made and fits great even for larger girls.  Would definitely order from this shop again (and probably will)!
1837,"Super cute, good quality."
1838,An awesome vendor to deal with!!! I needed some adjustments made and she took care of it AND shipped within 3 days of the order!!!
1839,"It fits perfectly. Goes just over the bottom of my rib cage. I haven’t worn it in the water yet, but I can’t wait to!"
1840,"Good quality item, comfy to wear and looks fab! I just have to waite fore the Norwegian summer....."
1841,"Shipping was pretty fast and i love my tops i bought, theyre perfect! thank you so much!"
1842,I'm not positive how I am going to keep this suit from falling but at least it will be cute while I can keep it on!
1843,Quick shipping and comfortable top !
1844,This bathing suit top was cute...but the material is terrible. There is no support or padding. It feels like I'm not wearing anything at all and it's honestly very uncomfortable. Now I have to spend more money to either get another bandeau or get some padding to put into this one.
1845,"Fast delivery! These bottoms fit better than any suit I've ever purchased and they match just about every swim top that I own. My hips around my butt measure 41 inches and waist 31 inches, I got a size Large and can't wait to take pics!"
1846,"I absolutely love this thing bikini bottom! It fits just like the white one in the photo on the model. The straps fit snug on your hips and create even more of a booty pop.
Also I recieved this item very quickly :-)"
1847,My man thinks I look hot af in these. 🥰
1848,"SO amazing! Size 8 and ordered an XL, fit perfectly."
1849,Fit perfectly and stayed up on my hips !
1850,I talk so comfy so I definitely like it. I recommend it. The pink it totally cute. I’m happy about my purchase
1851,"I was going on vacation a week after purchasing 2 of the thong bikinis and was worried it wouldn't come in time. Because she was located near by I was able to pick it up before my trip! I totally forgot I paid for shipping but she refunded the money without me even having to ask!! The product was great! Exactly what I was expecting and a great fit!! It truly is true to size!!

Great customer service!
Great purchase!

Will be ordering again!"
1852,Well made suit and she loves the way it adds to her (small) curves.  Thank you!
1853,"It fit perfect and although I was hesitant to buy this for the style, its very flattering!!  Great material and shipped fast!"
1854,Shipping was very fast! I bought the white bikini bottom. The material is great quality and fit me perfect! And it was lined enough where it’s not see through. I will definitely be buying more in different colors.
1855,"nice and thick fabric ladies. i was hesitant, but I'm pairing it with some lace skirts, and coverups from fashion nova. looks AMAZING."
1856,i love my swimsuit bottoms not only is her work amazing so is she. thank you a million
1857,Beautiful made!! Also super fast shipping and amazing customer service. The seller was great about helping me find something that would fit my shape and making sure I got the right product. Amazing shop!!!
1858,Super qualité ! J'adore. Envoi rapide et possibilité de communiquer avec la vendeuse. Génial 😍
1859,Fits absolutely perfect!
1860,"Everything was perfect, literally my item shipped the day I bought it. Great fit, and is super cute."
1861,"These bottoms are so cute and comfy! I cant thank you enough for making me a custom size, I love them!"
1862,This fits absolutely perfectly!  The green color is beautiful and it looks gorgeous on!
1863,love it!!! I love the shape of it! It looks great!
1864,Fits perfect! I feel super sexy
1865,It looks exactly like the pics.  Nice quality.  Just bought one so I could test quality.   Will buy more in different colors.  Thanks.
1866,"Ashley was great and helped with a last minute shipping change! The suit fit great, I am excited to wear it!"
1867,Loved how soft these are! Perfect fit
1868,I ordered 3 already Beautifully made great quality great customer service and perfect shipping🤩
1869,Fast shipping. Awesome customer service. Love the black and red sweetheart thong bikinis I purchased. Making another order ☺
1870,Loved it!! Thank you so much!!!
1871,"Oh it's perfect , doesn't look cheap ,I will be.Buying more from this company , 5 stars from me , I will post pictures soon"
1872,I love my bikini bottom it's exactly what I was looking for and more and it shipped way faster then I thought it would !!! I will be purchasing another one in a different color for my beach wedding in February !!!! Thanks so much Ashley !!!!!
1873,No one beats Ashley i will not buy from anyone except her now. Shes unbeatable on all levels.
1874,No one beats Ashley i will not buy from anyone except her now. Shes unbeatable on all levels.
1875,fit great- using these to mix and match
1876,Obsessed 😍😍😍 shipped super fast too!
1877,"The suit I ordered was perfect.  Perfect fit, quality material, well made and it shipped fast.  I'll be coming back to this store."
1878,These are great they are curved and fit well.  wash well. I loook hot them. Good Job Yall
1879,The thong is sexy and well made. Material is a stretchy spandex and fit true to size. I am very satisfied with product and shipping was fast.
1880,"Came much faster than I expected, is super flattering especially for such a revealing little thing. Couldn't be happier. Shopping for my next purchase from this shop right now"
1881,Obsessed!!!! So hot.
1882,"love it!! makes me look great, cant wait to wear it in Miami!!"
1883,The item was perfect and so was the quality. The shipment was extremely fast! And I loved it thank you!
1884,"5 stars, Ashley is extremely professional and very responsive. She will also work with you to ensure you are satisfied with your purchase and will work with you regarding any concerns you have on sizing. Thanks Ashley"
1885,Shipping was fast. I love the thickness of the material and the fit i incredible. Thank you!
1886,Great bottom to match with other suits I purchased!
1887,"Item came when she said it would, fit perfectly and was super satisfied with my purchase through this store"
1888,Fits perfect and good quality material!
1889,Thanks for communicating and keeping your word on delivering a great item I will keep you in mind for future purchases. P . s my wife loves her new bikini bottom perfect birthday gift.
1890,"As always, my order was received quickly and the items are awesome! Can't wait to get the next bikini I ordered! LOVE this shop. Ashley goes above and beyond to try to ensure you get what you want."
1891,"Amazing customer service and communication ! Can't wait to get my bikini bottoms ! I'm addicted to Ashley's items already, I will be a frequent customer ! She is awesome"
1892,There was an issue with my shipping the first time I ordered this product  and I never received it. I contacted the designer and she sent me another one free of charge! So grateful for her service. Awesome product!
1893,Fits great! Fast shipping as well! I'll be ordering more...
1894,Great fit and great material. Just perfect. Thank you!
1895,Thought the straps were going to be too big but they weren’t. Got a small at 5’7 and 36” hips
1896,Purchased bottoms in red. Great quality perfect fit. Will purchase again.
1897,"Great customer service. Prompt replies. 
Very easy to work with. 
Great respect for quality of work. 
Will shop here again."
1898,"On time delivery, great product! Thanks a lot!"
1899,Fits perfectly! Best for tanning :)
1900,Everything described and more. A completely nice piece
1901,It fits my girlfriend perfectly and she loves the quality of the thong 5/5 would buy again.
1902,Quality work fast shipping and happy wife!
1903,Yes...love the style and fit
1904,quick shipping and they fit so nicely!
1905,Fits well and the material is good quality!
1906,Unfortunately the XS did not cover me in the front. The rest fit right.
1907,Love the bottoms comfortable for a thong and fit great!
1908,"Very satisfy, thanks you!"
1909,No major problems and a fast delivery!
1910,No major problems and a fast delivery!
1911,Very happy with the bikini bottoms .. Will be buying more
1912,I love wearing woman's undies!
1913,"Very satisfy, thanks you! great thong bikini"
1914,Seller showed good customer service when item I purchased fell apart.
1915,Great quality as everything else has been.
1916,Great quality as everything else has been.
1917,AWESOME ITEM VERY HAPPY THANK YOU
1918,"Did not fit. I am a small in EVERYTHING and this was way to large. I messaged seller to trade or have a solution in mind and she offered to alter them to a smaller size. When i told her they need to be made to an XS , she said she could not alter them. $35 for a thong that my local exotic store carries for $10. I am furious. I am a dancer and this was a total waste of money as I cannot wear a thong that is too large for obvious reason. I would have left 5 stars if she followed through with her offer to alter them!!!"
1919,see the other review on this item.
1920,Good thong but too small for me .
1921,Will not be ordering any product from this shop again.
1922,Waited weeks but the item never shipped. Tried to reach out to the owner multiple times but got no response. Had to open a claim. On the last day before etsy would have to get involved the owner offered a refund. I got my money back but what terrible service!
1923,Ordered November 9th and haven’t received item or an estimated shipping date. Finally got a response from seller Saturday saying desired color was back ordered but it did not say that when i ordered and it took me to reach out to even get that info. Now awaiting a response on if other color options are available but it’s been two days since I asked the question and no response . So sellers communication experience with my transactions unfortunately doesn’t align with other reviews saying they’ve had good communication with them .
1924,Never received product so can not give advise
1925,"I unfortunately can not comment on the bathing suits because I never received them. Order was shipped much later then when they marked it as shipped. Never received tracking and when I inquired about the whereabouts of my order I received a tracking number a couple of days later. The item was shown that it was delivered (the week before) but I did not get it. Because it was so long ago, there was not much I could do. Seller refused to assist in the process of filing a claim with USPS and I can not file one without them. I am very unhappy with this transaction and the fact that I am out over $100 with no attempted resolution on the sellers behalf. I have since order bathing suits elsewhere."
1926,"Beautiful suit! I love the design and fit. Perfect for my first trip to Cape Cod. I mix and match bikinis, but I’m wearing the top in this picture!"
1927,"Everything I was looking for..vintage, 50s, pin up, Cape Cod, nautical, cute. It’s comfortable and it fits wonderfully! Would highly recommend!"
1928,The suit is super cute and the bottom fit perfectly and didn’t create the dreaded muffin top! The XL top fit perfectly for larger breasts but is challenging since there is no support and I couldn’t seem to get the tie to tie tight enough to feel secure. Perhaps adding elastic to the inside of the tie straps? Also the addition of the tie around the neck helped but would love if it was a several inches longer so I could knot it twice. Overall so good and adorable!
1929,"Working with the shop owner, Kerry, is such a pleasure. She's so sweet and works with you to get your perfect fit. I love this suit so much! It's classy but old school sexy and I feel so confident on the beach!"
1930,"Super cute and arrived promptly! This ran a little small, but this particular fabric seems less stretchy than average swim fabric so perhaps that's why. Didn't have time to try for an exchange before my vacation so I just rolled with it."
1931,"Edit: Still love the looks of the suit but after wearing it to the beach, I experienced some issues that makes me rethink ordering a second suit. 

1. The bow is not tacked to the suit so when I went in the water it just flapped around. I eventually pulled the bow out of the loop that holds it so I could move around freely. 

2. The leg openings tend to flip and roll up, particularly towards the inside of the thighs. I was constantly having to adjust and unroll. 

It’s still a nice suit, but not great for water use. I did get a lot of compliments and the fabric is soft and comfortable. 

——————————————

The shop owner is an absolute pleasure to work with! The bikini arrived very quickly and it is lovely! Really well made and fit perfectly. I will definitely order another swimsuit soon!"
1932,"i have been desperately searching for a bikini that i feel comfortable and confident wearing. This Bikini ticks both boxes! my mummy tummy is given support but i can still show my girls that curves and a pot belly are not to be hidden away, it is normal to have shape and be healthy and look glamorous too!"
1933,"Loved the bathing suit so much ! My boobs are just way to big for the top ! I would get another suit for a vacation for just me and my boyfriend and not with his family lol ! Also spoke with the owner she was so sweet about returning my items !!!! 

Thanks you !"
1934,LOVE LOVE LOVE! SHIPPED ON TIME FOR MY HONEYMOON!
1935,This suit is so adorable and true to size. Fits perfectly! Thank you!! ❤️
1936,Adorable!!! I feel so confident in it.  Fit is great.
1937,Love this bikini. Kerry was a great vendor. When I wanted to exchange the bottoms for a different size she was happy to swap them for me. Really friendly and professional. Thank you!
1938,Didn't fit. And took a while to come in.
1939,Absolutely love my new swim suit !!
1940,Super fun suit!
1941,"Lovely set with a good value for money. Just as a sizing note: he bottom was a tiny bit too high for me as I have a fairly short back, but this is a very minor thing.  The only real minus for me was that normal tying of the top already caused some of the seaming to rip a bit, so maybe a little more attention should be paid to the maximal flexibility of the seams (especially important since the fabric is very strechy)."
1942,"I like it the top is a little small for
Double d breasts!"
1943,"Beautiful swimsuit, good quality, can't wait to wear it to the beach!"
1944,Came very quick. Nice fit!
1945,"It looks really nice, thank you"
1946,Fantastic fit & cannot wait to wear it on the beach - hopefully not too long to wait now :)
1947,"Very well made, and fast shipping!"
1948,Love! It'll be perfect. Going to old navy to get some cheap matching bottoms. I can't wait for the summer so I can use it ASAP. Definitely recommend and is true to bra size
1949,"Jennifer is amazing, so unbelievably helpful :)
She answered all my questions to perfection,
And knows swimwear....she knows that having a large bust can be a challenge purchasing swimwear, she took the time to answer all my questions,
My top is well made designer quality, I will absolutely purchase from her again 
Thank you for making my summer sparkle"
1950,Oh my!!!!! I love my new bikini top.  The size fitting is exactly as posted.  I am a 40DD and ordered the XL.  This is probably the best fit bikini top that I own.  They were able to send it to me before July 4th.  The colors look great.
1951,I love this top!! Super cute & made out of great quality material! Thank you!
1952,Swimsuit fit much larger than expected and the bow requested on the bottoms wasn't added.
1953,Great customer service with super fast responses to questions and exchanges. I ordered a size I thought would fit but when I tried it on it was too big. I was in a time crunch but she made sure I got the smaller size on time :-) I like my tops small. I am a 32D and size small fit the way I like.
1954,"SUPER CUTE! well made, perfect sizing. thicker straps make it comfy on the neck for larger bust. a must have!"
1955,"Shipped super fast, great quality, and fits perfectly! And the sizing goes up to DDD/F which is next to impossible to find in a cute style!"
1956,"Super cute, requested it with lining. Bottoms are cute too. Love that the pieces are customizable. Can't wait to wear for 4th of July!!"
1957,She loved it!
1958,Brilliant Product. Great Fit. Fab material. Love it
1959,very well made and fits perfectly. materials are perfect!
1960,Absolutely love it! Fast shipping and great customer service! Will be purchasing more.
1961,Awesome product ! Looks amazing on and so far has held up after several wears and machine washes.
1962,"Good material , supportive  and super cute"
1963,Very pleased with my purchase and the quality of the item.
1964,It wasn’t the size I ordered.
